                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.30444,                0.22537,                0.90866,                0.99608,                      1,                  0.995,                0.96654,                 0.2239,                 0.1915,                0.83829,              0.0002972,              0.0002972,              0.0002972
                     89,                0.29916,                0.22369,                0.89793,                0.99617,                      1,                  0.995,                0.96536,                0.23078,                0.18997,                0.83129,              0.0002774,              0.0002774,              0.0002774
                     90,                0.28298,                0.22279,                0.90011,                0.99608,                      1,                  0.995,                0.97965,                0.22129,                0.19471,                0.83281,              0.0002576,              0.0002576,              0.0002576
                     91,                0.23023,                0.29199,                0.86306,                0.99603,                      1,                  0.995,                0.96789,                0.20943,                 0.1963,                0.83911,              0.0002378,              0.0002378,              0.0002378
                     92,                0.22499,                 0.2368,                0.86587,                0.99462,                      1,                  0.995,                0.96914,                0.20532,                0.21127,                0.84608,               0.000218,               0.000218,               0.000218
                     93,                0.21931,                0.23583,                0.84975,                0.99328,                      1,                  0.995,                0.96773,                0.20577,                0.19116,                0.85295,              0.0001982,              0.0001982,              0.0001982
                     94,                0.21887,                0.21024,                0.86852,                0.99019,                      1,                  0.995,                0.96377,                0.21955,                0.20368,                0.85435,              0.0001784,              0.0001784,              0.0001784
                     95,                0.21252,                0.20066,                0.87971,                0.99077,                      1,                  0.995,                0.96121,                0.21832,                 0.2065,                0.85199,              0.0001586,              0.0001586,              0.0001586
                     96,                0.21054,                0.19735,                0.82945,                0.99037,                      1,                  0.995,                0.96245,                0.23215,                0.21906,                0.85632,              0.0001388,              0.0001388,              0.0001388
                     97,                0.20362,                0.20307,                0.84854,                0.98981,                      1,                  0.995,                0.96127,                0.22249,                0.20925,                 0.8483,               0.000119,               0.000119,               0.000119
                     98,                0.20983,                0.20131,                0.86827,                0.98704,                      1,                  0.995,                0.97334,                0.21695,                0.18942,                0.84218,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.19238,                0.18274,                0.83686,                0.97915,                      1,                  0.995,                 0.9743,                0.21524,                0.19838,                0.84042,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.19672,                0.19265,                0.84051,                0.97336,                      1,                  0.995,                0.97432,                0.21166,                0.20637,                0.83972,               5.96e-05,               5.96e-05,               5.96e-05
